Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
186.,PDS,450.85,39.22,6368.44,1.05,42.45,70.44,3124.88,21.13,17.47
187.,Galaxy Surfact.,2089.25,24.16,7407.38,1.05,64.61,-9.47,1041.69,10.76,17.45
188.,Rategain Travel,450.00,26.00,5307.22,0.00,56.54,39.88,278.71,10.59,17.45
189.,Honasa Consumer,209.59,99.88,6807.99,0.00,21.58,-25.35,470.55,4.36,17.10
190.,JK Lakshmi Cem.,708.20,30.86,8333.39,0.92,60.46,-56.94,1496.83,-12.10,17.04
191.,G R Infraproject,959.05,9.88,9277.88,1.30,262.59,7.82,1694.50,-20.60,16.89
192.,Campus Activewe.,248.05,63.71,7575.41,0.28,46.47,86.70,514.80,9.07,16.71
193.,CIE Automotive,384.95,17.80,14603.55,1.30,184.98,1.11,2109.95,-5.82,16.62
194.,Aarti Pharma,738.95,26.86,6696.81,0.41,73.99,40.24,537.78,19.86,16.62
195.,Kansai Nerolac,224.65,28.97,18161.71,1.11,662.27,10.53,1921.89,0.17,16.56
196.,Nuvama Wealth,5054.20,19.94,18154.35,2.86,251.71,42.89,1031.82,22.74,16.54
197.,Techno Elec.Engg,900.60,32.63,10473.94,0.78,95.99,4.47,636.08,94.79,16.53
198.,Star Cement,204.85,62.08,8279.64,0.00,9.05,-87.69,718.76,10.34,16.48
199.,Alkyl Amines,1626.20,46.58,8315.74,0.61,43.76,30.90,371.20,15.26,16.46
200.,Nava,404.30,11.02,11732.84,0.49,353.26,-0.62,842.49,-9.40,16.27
201.,Electrost.Cast.,95.75,7.70,5919.12,1.46,160.17,-39.19,1776.66,-4.96,16.22
202.,Orient Cement,347.35,60.70,7124.49,0.65,10.14,-77.46,643.35,-14.37,16.13
203.,MOIL,314.35,17.91,6396.56,1.92,63.68,17.71,366.82,19.75,16.11
204.,V-Guard Industri,335.05,55.82,14587.27,0.42,48.09,3.15,1185.25,9.92,16.10
205.,Welspun Living,120.03,18.29,11664.62,0.08,122.87,-31.65,2489.61,3.27,16.10
206.,K E C Intl.,671.60,39.35,17877.99,0.60,129.56,33.75,5349.38,6.84,16.05
207.,Kalpataru Proj.,856.65,28.46,14629.23,0.93,139.59,-1.00,5732.48,17.08,15.99
208.,Ami Organics,2182.55,73.47,8934.15,0.14,45.44,168.36,274.99,65.22,15.99
209.,KRBL,261.70,13.74,5990.05,1.53,132.61,-0.92,1681.90,16.96,15.85
210.,PNC Infratech,258.95,5.85,6643.08,0.23,81.36,-56.02,1470.01,-28.17,15.84
211.,Five-Star Bus.Fi,650.40,18.60,19148.34,0.00,273.86,26.34,727.38,28.20,15.80
212.,Metropolis Healt,1626.10,54.77,8338.82,0.25,31.47,15.46,322.77,10.87,15.79
213.,Sansera Enginee.,1150.65,35.28,7125.04,0.26,55.92,15.98,727.80,2.13,15.76
214.,Allied Blenders,321.45,75.19,8991.28,0.00,58.37,26431.82,973.74,8.82,15.76
215.,Time Technoplast,365.00,22.34,8282.91,0.55,102.38,10.00,1387.74,4.76,15.62
216.,Raymond Lifestyl,1064.10,44.63,6482.88,0.00,53.29,-61.36,1340.04,-0.85,15.61
217.,Kirl. Ferrous,460.80,26.93,7585.22,1.19,61.25,-34.83,1609.25,4.18,15.47
218.,Granules India,470.65,23.82,11412.97,0.32,117.60,-6.41,1137.70,-1.55,15.40
