Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
966.,Golkunda Diamond,204.50,10.25,142.33,0.73,4.93,54.55,73.80,46.28,17.78
967.,Goyal Salt,145.00,15.86,259.55,0.00,9.33,,68.26,45.85,17.76
968.,Gothi Plascon,40.20,26.97,41.00,4.98,0.69,43.75,1.16,-2.52,17.75
969.,Sarthak Metals,123.74,32.70,169.40,0.81,1.22,-29.48,44.00,-41.57,17.75
970.,Essen Speciality,446.15,64.13,1108.19,0.14,7.47,63.82,47.44,25.07,17.75
971.,AGI Greenpac,666.45,14.85,4311.76,0.90,90.52,34.86,658.48,5.75,17.73
972.,Creative Casting,568.10,16.71,73.85,1.76,0.59,-42.72,8.39,-32.66,17.73
973.,HP Adhesives,45.32,21.55,416.38,0.66,3.96,-23.99,65.75,20.09,17.72
974.,Maagh Advertisin,27.20,295.67,612.03,0.00,0.85,,15.90,-26.22,17.70
975.,Lumax Auto Tech.,521.15,21.71,3552.04,1.06,56.04,23.00,905.60,23.63,17.67
976.,Bombay Oxygen,22098.10,8.61,331.47,0.11,-15.48,-188.61,-18.54,-183.06,17.66
977.,Kings Infra,131.20,26.20,321.51,0.00,3.92,164.86,33.43,46.56,17.65
978.,Navigant Corp.,50.30,11.25,15.86,0.00,0.84,,4.10,18.16,17.64
979.,Pentagon Rubber,65.60,17.32,50.58,0.00,0.93,,24.30,-15.39,17.62
980.,Raasi Refractor,25.80,,12.15,0.00,-2.28,-14.57,2.20,-71.65,17.60
981.,SP Refractories,132.25,13.30,23.67,0.00,0.97,,14.41,3.37,17.60
982.,VST Till. Tract.,3216.40,26.57,2778.82,0.62,1.70,-89.97,219.10,28.91,17.59
983.,Goldstar Power,9.70,75.81,233.48,0.00,1.11,,22.51,-20.91,17.54
984.,Shreeji Translog,11.00,21.65,76.87,0.91,0.46,-91.00,56.99,-13.57,17.54
985.,Vardhman Special,187.48,14.44,1532.34,1.07,21.46,-1.60,426.77,7.39,17.51
986.,Rajratan Global,300.70,23.91,1526.68,0.67,9.32,-52.64,218.36,-6.16,17.51
987.,IEL,5.09,84.01,66.37,0.00,0.21,90.91,0.40,-92.71,17.50
988.,Kamat Hotels,314.90,25.87,928.33,0.00,26.18,134.38,110.89,28.75,17.50
989.,Beezaasan Exp.,162.65,41.29,210.16,0.00,,,,,17.47
990.,Goodluck India,645.30,13.22,2112.62,0.93,41.19,28.96,941.98,7.25,17.44
991.,Steel Str. Wheel,171.86,12.87,2696.99,0.58,47.71,-19.69,1074.68,-3.21,17.44
992.,Kunststoff Inds.,21.33,11.57,14.70,0.00,0.30,0.00,2.82,-20.34,17.43
993.,Shree Tirupati,775.00,75.27,785.08,0.00,7.09,,104.39,38.32,17.43
994.,Nalin Lease Fin.,64.99,10.90,42.62,0.00,1.00,-7.41,1.62,-11.96,17.39
995.,Naapbooks,105.00,40.65,94.71,0.00,1.24,,3.78,90.91,17.39
996.,Ram Ratna Wires,489.00,33.31,2153.65,0.51,18.34,42.58,888.67,27.24,17.37
997.,Indian Toners,247.70,11.03,268.75,1.82,6.43,14.01,39.29,5.96,17.35
998.,Jeyyam Global,37.05,11.66,175.98,0.00,9.54,,375.43,48.04,17.34
999.,Beardsell,28.07,12.75,110.70,0.36,2.44,14.55,60.70,6.89,17.33
1000.,Akar Auto Indust,94.05,16.44,101.46,0.64,1.83,-4.69,92.24,-1.52,17.33
1001.,Rudrabhish. Ent.,170.75,21.19,306.13,0.00,5.23,20.51,31.91,30.14,17.33
1002.,Welcast Steels,1140.00,88.98,72.96,0.22,0.11,-91.06,23.08,14.48,17.32
1003.,MCON Rasayan,128.10,38.76,93.80,0.00,1.26,,21.57,25.04,17.32
1004.,Betex India,401.85,14.85,60.28,0.00,1.08,-12.90,22.59,-5.28,17.30
1005.,Qualitek Labs,240.00,59.73,239.51,0.00,1.71,,20.93,67.57,17.30
1006.,Vidhi Specialty,441.70,52.33,2206.07,0.79,12.69,48.59,98.52,56.46,17.28
1007.,Ambey,44.65,22.64,111.39,0.00,2.97,,67.65,,17.26
1008.,Zaggle Prepaid,322.90,58.03,4333.49,0.00,20.24,32.98,336.44,68.63,17.25
1009.,Indian Sucrose,90.18,4.55,156.70,0.00,2.86,62.50,51.68,-21.45,17.24
1010.,Shankara Build.,504.05,16.70,1222.29,0.60,17.69,-17.41,1437.16,22.08,17.24
1011.,Gufic BioScience,326.90,39.97,3278.07,0.03,19.32,-13.21,207.79,2.98,17.23
1012.,Aditya Ultra,29.00,9.64,72.02,0.00,5.20,,312.39,,17.23
1013.,Integra Essentia,2.41,25.99,257.31,0.00,1.24,74.65,124.63,100.82,17.22
1014.,Suraksha Diagno.,278.10,54.74,1448.37,0.00,6.36,29.01,58.57,13.84,17.22
1015.,Lumax Industries,2171.30,15.38,2030.17,1.61,33.48,30.88,887.08,40.42,17.21
1016.,JTEKT India,115.56,34.83,2938.47,0.52,16.26,-31.54,591.93,7.23,17.20
1017.,Bansal Roofing,106.69,31.47,140.65,0.00,2.26,193.51,26.44,3.04,17.20
1018.,Sungarner Energ.,301.00,43.08,69.79,0.00,0.82,,12.04,60.53,17.19
1019.,Gajanand,15.40,12.95,29.01,0.00,1.13,,43.47,41.37,17.17
1020.,Ashapura Minech.,310.30,13.01,2964.17,0.00,107.59,285.03,865.44,21.36,17.16
1021.,RDB Rasayans,106.95,7.64,189.46,0.00,5.74,-12.77,27.27,7.70,17.14
1022.,Tasty Bite Eat.,8538.70,99.73,2191.03,0.02,13.03,108.48,178.68,34.66,17.13
1023.,Fredun Pharma,678.05,17.04,320.15,0.10,5.33,26.30,102.70,18.05,17.13
1024.,Rathi Steel,28.67,41.90,243.88,0.00,0.53,-32.91,104.43,3.17,17.12
1025.,Century Extrus.,20.08,19.38,160.64,0.00,2.45,26.29,103.54,8.49,17.11
1026.,Nila Spaces,11.42,36.96,449.82,0.00,3.75,-67.76,33.02,-43.48,17.09
1027.,Alphalogic Tech.,91.14,119.89,570.69,0.00,1.63,5.98,20.69,45.09,17.09
1028.,Carysil,619.85,29.02,1761.34,0.32,12.53,-18.51,203.12,8.07,17.08
1029.,Emk.Global Fin.,178.60,7.69,453.06,0.84,8.57,-30.15,76.49,1.72,17.08
1030.,Avro India,157.99,49.74,169.61,0.00,1.04,-7.14,24.06,-17.55,17.08
1031.,Refractory,63.20,28.47,137.78,0.00,3.15,,23.54,22.73,17.04
1032.,Kokuyo Camlin,102.92,86.97,1032.33,0.49,-4.16,-174.69,160.56,-4.45,17.01
1033.,Ritco Logistics,258.80,17.09,732.99,0.00,13.03,45.26,312.93,30.98,17.01
1034.,Sabar Flex India,7.15,3.44,12.33,0.00,0.86,,61.26,60.70,17.00
1035.,Jagsonpal Pharma,204.96,37.34,1360.67,0.98,31.99,244.44,74.03,56.74,16.99
1036.,Pramara Promotio,125.55,20.93,113.43,0.00,2.21,,30.76,47.11,16.99
1037.,Gujarat Intrux,411.95,14.32,141.52,4.13,2.71,64.24,16.45,16.83,16.97
1038.,Prima Plastics,131.80,8.70,144.98,1.52,3.47,-51.04,51.25,11.12,16.97
1039.,Power & Instrum.,139.88,19.88,224.83,0.14,2.88,251.22,33.37,125.17,16.97
1040.,Krishna Defence,541.50,41.79,742.13,0.09,10.60,,94.04,166.93,16.94
1041.,Rishi Laser,117.65,12.63,108.12,0.00,1.36,18.26,36.96,17.63,16.93
1042.,Marco Cables,39.00,15.10,72.93,0.00,2.73,,48.74,135.46,16.91
1043.,Mangalore Chem.,142.48,12.74,1688.67,1.05,57.39,74.01,967.66,51.05,16.90
1044.,Sam Industries,61.99,26.04,68.74,0.00,1.41,50.00,2.08,21.64,16.89
1045.,Federal-Mogul Go,329.75,12.83,1834.40,0.00,30.59,18.10,433.09,4.42,16.89
1046.,Intense Tech.,96.08,13.60,225.82,1.04,3.09,-28.14,33.26,22.55,16.89
1047.,Panch.Organics,130.95,12.62,172.48,2.44,3.67,-13.85,26.24,2.46,16.88
1048.,Radix Industries,182.55,105.37,273.96,0.27,1.00,49.25,15.66,92.38,16.85
1049.,Purshottam Inves,43.00,6.03,27.02,0.00,-0.56,-111.86,4.96,-69.55,16.85
1050.,Morepen Labs.,44.61,19.40,2444.42,0.00,26.69,-16.57,452.78,1.85,16.83
1051.,Vimta Labs,1017.00,38.66,2260.06,0.20,21.02,47.15,88.52,21.26,16.82
1052.,Sanmit Infra,9.28,287.51,146.63,0.38,0.34,-85.59,36.39,67.85,16.80
1053.,Mallcom (India),1120.10,17.71,698.94,0.27,9.03,32.21,117.74,23.21,16.78
1054.,Balaji Amines,1206.95,21.32,3910.64,0.91,31.14,-36.93,312.73,-18.42,16.76
