Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
303.,Dilip Buildcon,465.55,24.86,6807.04,0.21,265.86,466.29,2461.35,-13.60,10.47
304.,Dynamatic Tech.,8099.30,109.33,5500.59,0.12,12.03,-0.58,361.42,3.00,10.46
305.,Navin Fluo.Intl.,3359.65,76.95,16662.44,0.36,58.82,-2.91,518.56,9.91,10.43
306.,Trident,34.09,53.90,17372.50,1.06,83.32,-7.78,1712.94,-4.71,10.43
307.,Finolex Inds.,248.60,32.06,15425.06,1.01,51.44,-45.15,828.43,-6.20,10.42
308.,SIS,369.15,33.62,5321.61,0.00,68.81,-8.59,3268.81,6.35,10.34
309.,IFCI,61.37,110.68,16039.61,0.00,184.89,-13.51,617.14,1.70,10.24
310.,Sh.Renuka Sugar,40.22,,8560.79,0.00,-23.10,89.12,2566.20,0.43,10.15
311.,JM Financial,130.21,20.19,12445.03,1.54,144.20,-26.03,1190.51,-0.57,10.13
312.,Sammaan Capital,163.23,,12089.56,1.23,-2760.72,-1026.48,2422.49,8.77,10.08
313.,Jubilant Ingrev.,859.20,77.96,13685.44,0.58,59.00,2.63,1045.24,2.48,9.97
314.,AAVAS Financiers,1701.35,25.25,13465.13,0.00,147.91,21.52,579.16,16.61,9.91
315.,Puravankara,391.50,134.17,9284.41,1.61,-17.06,-49.82,495.54,34.54,9.89
316.,Syrma SGS Tech.,627.60,105.14,11145.24,0.24,39.65,24.01,832.74,17.00,9.84
317.,Jindal Worldwide,439.00,104.05,8802.85,0.05,17.34,35.89,570.81,45.68,9.83
318.,Capri Global,191.56,48.89,15805.93,0.08,96.98,48.65,751.64,34.89,9.50
319.,Mishra Dhatu Nig,349.35,74.77,6544.72,0.40,23.55,70.04,262.12,15.22,9.44
320.,Laxmi Organic,242.41,50.14,6715.33,0.25,28.09,162.28,771.25,18.24,9.40
321.,Neogen Chemicals,2202.30,143.74,5810.04,0.09,10.96,38.38,193.36,19.57,9.38
322.,Orchid Pharma,1982.50,84.51,10055.06,0.00,27.24,37.58,222.70,12.04,9.37
323.,Can Fin Homes,721.15,11.71,9602.41,0.83,211.49,33.80,962.48,10.50,9.26
324.,Mahindra Holiday,376.60,69.00,7607.61,0.00,11.48,-46.20,670.75,2.36,9.24
325.,Religare Enterp.,282.95,101.77,9354.49,0.00,68.49,102.33,1951.86,23.19,9.24
326.,MMTC,74.50,52.76,11175.00,0.00,48.05,-58.86,1.56,100.74,9.23
327.,AWFIS Space,751.05,424.21,5319.54,0.00,38.67,437.01,292.38,40.47,9.18
328.,Birla Corpn.,1231.35,31.10,9482.63,0.81,-25.19,-143.02,1952.56,-14.58,9.01
329.,DCM Shriram,1136.80,33.99,17727.52,0.58,62.92,95.16,2957.33,9.21,8.99
330.,Equitas Sma. Fin,66.34,16.86,7558.26,1.51,12.88,-93.50,1554.87,14.41,8.97
331.,Health.Global,482.30,128.86,6723.39,0.00,20.68,66.88,553.54,13.68,8.92
332.,Anupam Rasayan,728.25,114.52,8005.75,0.17,30.62,-59.03,293.96,-25.04,8.89
333.,Vardhman Textile,509.70,18.51,14739.24,0.78,197.30,46.57,2502.42,4.38,8.73
334.,RHI Magnesita,496.80,51.51,10258.99,0.50,45.91,-35.62,867.07,-12.14,8.58
335.,Bharat Global,68.69,791.42,12520.24,0.00,10.11,,216.35,,8.55
336.,HEG,528.25,56.04,10194.04,0.85,82.28,-14.27,567.60,-7.58,8.54
337.,V I P Inds.,488.65,,6939.78,0.41,-33.05,-375.83,544.26,-0.34,8.48
338.,ACME Solar Hold.,240.33,118.26,14542.07,0.00,15.30,-19.09,259.59,-19.71,8.41
339.,RattanIndia Pow.,13.55,,7276.49,0.00,-1.35,99.79,682.43,-14.31,8.39
340.,Epack Durable,625.10,125.92,5998.94,0.00,-8.49,-39.64,377.10,111.73,8.32
341.,Sheela Foam,1011.50,112.98,10994.74,0.00,9.32,-78.80,812.72,32.54,7.97
342.,National Standar,4324.70,521.68,8649.40,0.00,4.80,71.43,3.80,630.77,7.92
343.,Strides Pharma,698.00,32.30,6432.96,0.36,93.66,7158.04,1201.11,20.18,7.85
344.,Aether Industri.,905.70,118.26,12008.04,0.00,38.07,7.20,196.45,19.66,7.82
345.,G N F C,567.00,18.98,8331.54,2.91,102.00,-42.70,1917.00,-7.84,7.71
346.,Aarti Industries,420.10,34.38,15229.46,0.24,52.00,-45.05,1628.00,11.97,7.47
347.,S C I,214.45,9.98,9989.08,0.23,290.22,613.25,1450.63,32.71,7.43
348.,Reliance Infra.,319.20,,12644.51,0.00,4194.63,389.06,7258.49,1.48,7.38
349.,Sapphire Foods,348.85,498.03,11186.71,0.00,-6.24,-84.22,695.70,8.26,7.27
350.,T N Merc. Bank,456.85,6.41,7234.29,2.19,303.18,10.85,1337.41,10.61,7.18
351.,Sobha,1545.65,270.18,14659.85,0.19,26.09,74.52,933.59,25.95,7.12
352.,India Grid Trust,144.01,32.06,12018.47,5.21,98.73,165.57,835.78,16.70,7.08
353.,CSB Bank,319.10,10.01,5535.93,0.00,138.41,3.93,864.85,25.83,6.94
354.,Karur Vysya Bank,222.61,9.95,17917.38,1.08,473.60,25.14,2384.00,19.37,6.89
355.,Juniper Hotels,363.75,237.07,8093.52,0.00,-27.82,-77.76,214.52,27.34,6.80
356.,Lloyds Enterpris,57.30,66.89,7289.29,0.17,40.46,-23.39,385.49,158.16,6.75
357.,Jubilant Pharmo,1091.85,61.11,17393.17,0.46,102.50,81.29,1752.30,4.28,6.74
358.,Paradeep Phosph.,120.66,27.08,9836.32,0.41,227.46,154.34,3843.84,4.37,6.74
359.,Entero Healthcar,1402.15,85.35,6098.48,0.00,26.04,360.43,1300.69,30.55,6.71
360.,Natl.Fertilizer,120.55,16.34,5913.94,0.22,12.07,113.86,4390.36,-22.43,6.70
361.,Medplus Health,832.00,99.31,9946.32,0.00,38.70,166.16,1576.17,11.90,6.66
362.,Keystone Realtor,672.40,55.91,8473.53,0.00,65.55,1471.94,533.07,-13.75,6.58
363.,City Union Bank,175.44,12.29,12999.85,0.85,285.18,1.63,1433.95,9.96,6.57
364.,Le Travenues,178.55,112.36,6932.49,0.00,13.09,513.91,206.47,25.96,6.53
365.,Infibeam Avenues,26.11,35.77,7282.45,0.19,47.47,8.31,1016.65,29.19,6.27
366.,Zee Entertainmen,125.51,28.17,12055.48,0.80,209.40,13.77,2000.70,-17.93,6.26
367.,Karnataka Bank,211.18,5.95,7980.38,2.60,336.07,1.76,2234.13,10.24,6.24
368.,RBL Bank,162.79,8.39,9893.86,0.92,222.52,-24.33,3530.93,17.39,6.23
369.,Avalon Tech,973.15,223.51,6437.22,0.00,17.48,140.11,275.02,36.83,6.22
370.,South Ind.Bank,26.96,5.82,7053.53,1.11,324.69,18.15,2354.72,10.60,6.19
371.,R C F,180.63,53.83,9965.18,0.69,78.96,54.73,4289.56,3.23,6.16
372.,J & K Bank,100.76,5.47,11095.51,2.13,552.78,44.04,3123.65,12.99,5.90
373.,Sundaram Fin.Hol,303.40,11.80,6738.63,2.54,88.90,-2.00,29.86,22.43,5.85
