Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
3459.,G R Cables,33.42,479.83,28.79,0.00,1.27,12600.00,0.00,,-4.38
3460.,Photoquip India,21.24,,12.75,0.00,0.38,137.62,5.10,80.21,-4.38
3461.,Ahimsa Industrie,71.75,,39.28,0.00,-0.92,,6.72,3.54,-4.42
3462.,BGIL Films & Tec,7.57,,8.58,0.00,-0.11,64.52,0.00,,-4.44
3463.,Veejay Lak. Eng.,90.50,,45.88,0.00,-1.72,33.07,15.99,-14.95,-4.46
3464.,Astec Lifescienc,1164.10,,2282.96,0.00,-38.55,-187.26,98.55,-11.05,-4.48
3465.,Kashyap TeleMed.,2.94,,14.03,0.00,0.00,,0.06,0.00,-4.58
3466.,Zodiac-JRD MKJ,79.00,,40.92,0.00,0.28,-40.43,6.23,226.18,-4.62
3467.,GCM Commodity,6.57,13.56,4.88,0.00,0.31,,0.00,-100.00,-4.64
3468.,Yash Mgmt & Sat.,13.67,22.35,23.24,0.00,-2.01,14.83,8.04,41.30,-4.64
3469.,Phaarmasia,47.10,,32.17,0.00,-0.64,-300.00,5.93,-31.37,-4.65
3470.,Restaurant Brand,83.18,,4147.46,0.00,-65.46,-30.72,632.43,1.20,-4.68
3471.,Cityman,27.49,,32.16,0.00,-0.09,10.00,0.00,,-4.69
3472.,Hindoo. Mills,214.30,,35.57,0.00,-5.78,-2652.38,7.91,-65.98,-4.73
3473.,Bohra Industries,17.10,,24.45,0.00,-0.58,6.45,0.00,,-4.75
3474.,Link Pharma Chem,41.05,38.79,18.23,0.00,-0.31,69.61,4.80,-20.66,-4.79
3475.,Waterbase,78.33,,324.50,0.00,-2.47,-2.07,62.10,-28.42,-4.86
3476.,Abhishek Infra.,7.47,,3.77,0.00,-0.04,55.56,0.00,,-4.86
3477.,Agro Phos India,41.37,,83.87,0.00,0.44,-87.13,31.50,-17.02,-4.90
3478.,Phyto Chem (I),39.03,,16.78,0.00,0.11,168.75,4.37,-39.39,-4.93
3479.,Sylph Techno,1.14,,40.89,0.00,-0.03,-160.00,0.00,-100.00,-4.96
3480.,Ester Industries,170.35,,1602.00,0.00,3.02,109.92,331.16,26.70,-4.98
3481.,Spel Semiconduct,180.85,,834.08,0.00,-4.65,-19.70,1.39,-37.10,-5.04
3482.,Lippi Systems,20.99,,14.69,0.00,-0.25,-38.89,0.00,,-5.09
3483.,Prajay Engineers,32.80,,229.40,0.00,-6.21,12.39,25.67,823.38,-5.17
3484.,Parsvnath Devl.,23.58,,1026.16,0.00,-128.03,-70.31,47.05,-58.53,-5.25
3485.,K G Denim,25.07,,64.27,0.00,-12.25,-130.92,15.04,-77.59,-5.27
3486.,Mahaveer Infoway,9.50,,5.23,0.00,0.16,-5.88,1.02,-38.92,-5.28
3487.,Millen. Online,2.48,,12.40,0.00,-0.04,33.33,0.36,33.33,-5.28
3488.,Vasa Retail,6.65,,3.99,0.00,-0.03,,0.00,,-5.30
3489.,Flex Foods,66.96,,83.37,0.75,-14.12,-104.93,36.69,61.92,-5.33
3490.,Sri Chakra Cem.,3.63,,3.27,0.00,-16.08,-1256.83,22.10,-57.26,-5.34
3491.,H D I L,3.84,,182.02,0.00,-2.41,-34.64,0.42,-4.55,-5.37
3492.,Sanghi Industrie,62.10,,1604.20,0.00,-195.68,42.21,151.50,-16.15,-5.45
3493.,Shah Alloys,68.64,,135.91,0.00,-6.38,-1922.86,66.31,-63.28,-5.46
3494.,Command Polymers,43.99,,41.25,0.00,-0.01,,9.15,36.98,-5.46
3495.,Subex,23.45,,1321.83,0.00,0.62,88.87,74.16,-3.45,-5.48
3496.,G K P Printing,8.14,,17.91,0.00,0.22,1000.00,7.90,-1.13,-5.50
3497.,Global Offshore,121.00,,315.42,0.00,-2.08,-454.79,7.26,-32.47,-5.54
3498.,Cargosol Logist.,26.95,,27.49,0.00,-0.84,,71.20,16.49,-5.55
3499.,Bang Overseas,77.50,,105.09,0.00,0.02,100.55,48.44,59.24,-5.57
3500.,Reliable Ventur.,22.39,,24.65,0.00,-0.46,17.86,0.00,-100.00,-5.58
3501.,Hind Aluminium,74.99,4.76,47.24,0.00,1.05,-72.58,0.36,-25.00,-5.58
3502.,Sterling Green,51.69,,21.92,0.00,-0.35,54.55,0.29,-39.58,-5.64
3503.,Vivo Collaborat.,80.65,,16.25,0.00,0.69,,1.73,-41.16,-5.67
3504.,Aroma Ent.,28.00,,13.66,0.00,-0.01,-102.94,0.00,,-5.70
3505.,Polytex India,6.11,,8.25,0.00,-0.03,25.00,0.00,,-5.73
3506.,Texel Industries,94.50,,125.75,0.00,0.84,138.89,27.85,11.71,-5.73
3507.,Swadha Nature,11.21,114.75,4.59,0.00,0.01,200.00,0.01,0.00,-5.74
3508.,Lime Chemicals,23.83,,15.50,0.00,-0.05,54.55,2.38,5.78,-5.85
3509.,K-Lifestyle,0.38,,38.85,0.00,-1.13,82.40,0.92,-65.54,-5.85
3510.,India Steel,5.40,,214.96,0.00,-2.25,25.21,0.00,,-5.86
3511.,Tijaria Polypipe,11.36,,32.52,0.00,-0.93,-45.31,0.00,,-5.88
3512.,Natl. Oxygen,133.90,,67.52,0.00,-1.19,-98.33,10.61,-10.16,-5.88
3513.,Hipolin,170.05,,53.23,0.00,-0.38,-8.57,5.52,34.63,-5.95
3514.,Containerway Int,71.64,96.40,82.90,0.00,0.05,600.00,1.87,,-5.95
3515.,Shreyas Interm.,12.81,,90.76,0.00,-0.51,-4.08,0.00,,-6.00
3516.,Azad India,130.10,,378.92,0.00,0.13,750.00,0.00,,-6.00
3517.,Mega Nirman,19.82,,6.63,0.00,0.03,133.33,0.00,,-6.00
3518.,Rama Phosphates,205.83,,364.11,0.00,3.08,359.70,209.46,22.17,-6.06
3519.,Madhur Inds,7.15,,2.92,0.00,-0.43,-2050.00,0.00,,-6.11
3520.,Suumaya Indust.,3.89,,26.20,0.00,-862.42,-3784.23,15.66,80.62,-6.12
3521.,Bombay Wire,64.74,,34.57,0.00,-0.12,0.00,0.00,,-6.18
3522.,Baroda Extrusion,9.40,,140.11,0.00,0.05,-87.18,35.66,10.81,-6.20
3523.,Quantum Build,9.31,,23.34,0.00,-0.08,-14.29,0.00,,-6.21
3524.,Santosh Fin Fab,32.20,,11.35,0.00,0.01,95.24,4.18,48.23,-6.26
3525.,Compuage Info.,3.02,,25.90,0.00,-137.42,-1417.55,388.94,-69.83,-6.27
3526.,Creative Eye,7.77,,15.59,0.00,0.46,166.67,1.25,,-6.29
3527.,Jauss Polymers,9.52,,4.40,0.00,-0.03,84.21,0.00,,-6.30
3528.,Andhra Cements,83.62,,770.74,0.00,-34.88,-121.18,54.86,-15.79,-6.33
3529.,Choksi Imaging,92.33,56.27,36.01,0.00,0.24,151.06,5.72,1000.00,-6.34
3530.,Futuristic Sec.,32.77,127.80,6.39,0.00,0.02,300.00,0.02,0.00,-6.36
3531.,Sutlej Textiles,66.78,,1094.05,0.00,-17.70,62.90,675.99,-6.94,-6.36
3532.,Puretrop Fruits,162.45,,129.47,0.00,-1.36,-1550.00,34.81,69.97,-6.40
3533.,Oriental Trimex,9.80,,72.04,0.00,-2.15,-1087.50,1.94,1840.00,-6.40
3534.,Sybly Industries,6.24,1.45,5.71,0.00,3.46,2769.23,0.00,,-6.42
3535.,Kanco Tea,91.99,,47.12,0.00,5.40,143.24,27.48,-11.47,-6.44
3536.,Lasa Supergeneri,29.02,,145.39,0.00,-3.23,-16050.00,39.39,62.10,-6.45
3537.,Harmony Capital,66.86,,20.06,0.00,-0.16,,0.00,,-6.55
3538.,Bharat Agri Fert,73.51,441.52,388.54,0.07,-2.27,2.16,6.57,30.36,-6.57
3539.,Soni Medicare,37.75,,16.10,0.00,0.47,1466.67,8.59,7.78,-6.58
3540.,Saptak Chem &,4.05,,4.35,0.00,0.00,,0.00,,-6.59
3541.,Niyogin Fintech,71.68,,682.48,0.00,-4.25,38.02,72.52,53.87,-6.60
3542.,Ajel,17.37,,20.24,0.00,-0.50,30.56,2.92,-15.61,-6.62
3543.,Mehta Housg. Fin,194.25,,59.87,0.00,-0.05,,0.00,,-6.79
3544.,Standard Inds.,28.18,46.24,181.28,3.73,-2.06,56.26,4.53,-23.74,-6.83
3545.,Vallabh Steels,9.20,,4.55,0.00,-0.34,24.44,0.00,,-6.85
3546.,Vivid Mercantile,5.93,4.36,59.45,0.00,0.25,-82.99,0.33,-93.14,-6.96
3547.,Mcleod Russel,45.23,,472.45,0.00,84.54,38.25,452.62,23.71,-7.00
3548.,TCM,49.90,,37.31,0.00,-0.63,65.45,6.90,36.90,-7.04
3549.,Shyamkamal Inv,10.83,,14.62,0.00,-0.19,-290.00,0.27,,-7.05
3550.,3i Infotech,31.78,,538.84,0.00,-4.31,-117.55,177.60,-15.54,-7.07
3551.,Visa Steel,39.31,,455.17,0.00,-4.16,52.70,150.62,-20.40,-7.08
3552.,SC Agrotech,16.59,43.26,9.95,0.00,-0.19,-2000.00,0.00,-100.00,-7.09
3553.,Shriram AMC,573.25,,746.19,0.00,-3.63,-61.33,1.92,7.26,-7.10
3554.,Shri Vasuprada,130.00,,107.70,0.00,4.38,375.47,35.45,13.99,-7.17
3555.,Integra Switch,224.75,,71.63,0.00,0.00,100.00,0.00,,-7.30
3556.,Zota Health Care,806.65,,2210.84,0.12,-12.18,-633.33,67.28,48.62,-7.32
3557.,Williamson Magor,38.53,,42.23,0.00,4.37,524.27,1.37,168.63,-7.39
3558.,Standard Battery,83.72,33.56,43.29,0.00,-0.10,0.00,0.00,,-7.52
3559.,Baron Infotech,1.05,,1.07,0.00,-0.09,83.02,0.00,-100.00,-7.55
3560.,Khaitan Chemical,71.45,,692.99,0.00,-3.07,-2890.91,230.65,19.31,-7.57
3561.,Sun Retail,0.76,30.23,11.79,0.00,0.39,,39.20,155.37,-7.61
3562.,Objectone Inform,10.28,,10.81,0.00,-0.30,-146.15,4.27,-39.69,-7.62
3563.,Indergiri Fin.,30.95,,15.66,0.00,-0.04,71.43,0.53,211.76,-7.67
3564.,Max India Ltd,278.25,,1201.23,0.00,-22.73,-383.62,42.77,-13.12,-7.69
3565.,Vista Pharma.,11.98,,46.51,0.00,-0.97,51.98,2.49,-28.24,-7.74
3566.,Secmark Consult.,114.97,51.81,119.69,0.00,0.21,112.65,8.79,38.86,-7.74
3567.,Shristi Infra,46.85,,104.01,0.00,-9.92,50.77,14.16,-66.76,-7.77
3568.,Cont. Controls,12.70,390.50,7.81,0.00,0.01,0.00,0.00,,-7.82
3569.,Nikki Glob.Fin.,16.24,,5.55,0.00,-0.02,0.00,0.02,,-7.83
3570.,TCI Industries,1569.20,,141.23,0.00,-0.43,-7.50,0.42,61.54,-7.83
3571.,Jay Shree Tea,127.02,,366.83,0.00,30.45,217.39,301.35,30.28,-7.83
3572.,Ind Bank Housing,50.61,,50.61,0.00,-0.08,83.33,0.00,,-7.86
3573.,Step Two Corp.,35.20,,14.95,0.00,-2.41,-546.30,0.00,-100.00,-7.93
3574.,Delta Manufact.,111.94,,121.47,0.00,-2.96,-16.54,19.66,-5.12,-7.93
3575.,Uniroyal Marine,20.00,,12.96,0.00,-0.31,65.93,5.37,227.44,-7.97
3576.,Universal Office,8.37,,12.26,0.00,-0.01,50.00,0.00,,-7.98
3577.,Shiva Global,44.94,,44.91,0.00,-3.49,46.79,94.30,37.76,-8.17
3578.,Umiya Tubes,34.42,,44.60,0.00,-0.54,-10.20,0.21,133.33,-8.17
3579.,M T N L,51.62,,3252.06,0.00,-890.28,-12.29,174.23,-11.93,-8.18
3580.,Zodiac Cloth. Co,131.94,,342.96,0.00,-14.08,-28.82,42.85,32.87,-8.22
3581.,Gillanders Arbut,126.01,,268.93,0.00,21.47,489.84,126.75,20.23,-8.24
3582.,Rasandik Engg.,117.10,16.82,69.97,0.00,-2.82,-203.30,16.30,-25.54,-8.27
3583.,PBM Polytex,93.32,,64.20,0.00,-1.26,63.27,42.57,-16.07,-8.27
3584.,MT Educare,2.62,,18.92,0.00,-9.09,-77.19,11.52,-18.59,-8.27
3585.,Next Mediaworks,8.21,,54.92,0.00,-7.65,-13.41,8.45,4.45,-8.37
3586.,Norris Medicines,17.00,,17.00,0.00,-0.36,25.00,1.27,-50.39,-8.43
3587.,Prem. Synthetic,25.70,,11.80,0.00,0.10,173.91,2.48,-86.97,-8.44
3588.,BN Holdings,165.60,,173.90,0.00,-5.69,-832.79,0.00,,-8.55
3589.,Indian Acrylics,11.16,,151.02,0.00,-11.49,53.56,95.88,-44.12,-8.56
3590.,Hypersoft Tech.,17.56,,7.47,0.00,-0.03,-175.00,0.01,-96.43,-8.57
3591.,Padmanabh Inds.,12.23,,7.43,0.00,0.01,200.00,0.25,,-8.62
3592.,Chambal Brewer,5.74,,4.30,0.00,-0.01,0.00,0.00,,-8.62
