Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
85.,Tube Investments,3609.65,87.02,69838.32,0.10,299.17,-21.66,4924.55,14.37,26.28
86.,Sun TV Network,687.40,14.74,27089.38,2.44,409.32,-11.93,934.54,-10.86,26.20
87.,Coromandel Inter,1958.30,42.52,57695.83,0.31,659.10,-12.65,7432.83,6.36,25.98
88.,M R P L,149.53,28.73,26206.61,2.01,-696.94,-166.27,24967.87,29.01,25.75
89.,Siemens,6609.70,86.65,235384.97,0.15,831.20,45.41,6461.10,11.25,25.59
90.,Blue Star,2337.55,91.56,48063.48,0.30,96.06,35.93,2275.96,20.40,25.51
91.,Premier Energies,1324.70,258.54,59714.08,0.00,205.95,289.61,1527.22,120.16,25.23
92.,APL Apollo Tubes,1616.75,76.97,44868.78,0.34,53.81,-73.48,4773.91,3.10,25.18
93.,Dr Lal Pathlabs,2944.65,61.32,24613.66,0.82,130.80,18.21,660.20,9.80,25.17
94.,BASF India,5441.40,36.80,23553.45,0.28,127.94,-14.19,4247.72,14.60,24.99
95.,Suzlon Energy,61.95,85.01,83862.51,0.00,200.60,45.89,2103.38,47.98,24.93
96.,Grindwell Norton,1933.30,57.19,21405.50,0.88,97.09,-5.60,693.87,3.97,24.59
97.,Mankind Pharma,2937.55,60.47,121193.59,0.00,634.43,34.84,2529.74,11.91,24.57
98.,J B Chemicals &,1867.60,47.54,29050.28,0.66,174.57,15.92,1000.62,13.48,24.55
99.,Interglobe Aviat,4466.20,26.03,172569.66,0.00,-988.80,-626.35,16969.60,13.56,24.53
100.,Havells India,1700.00,75.59,106580.09,0.53,267.77,7.50,4539.31,16.38,24.40
101.,Bharat Dynamics,1143.65,75.73,41921.92,0.46,122.53,-16.70,544.77,-11.54,24.23
102.,Sona BLW Precis.,591.10,63.96,36733.33,0.52,143.58,18.35,922.19,17.11,24.02
103.,P I Industries,3668.40,31.35,55656.27,0.41,508.20,5.76,2221.00,4.92,24.00
104.,Mphasis,2869.25,34.12,54417.38,1.92,423.33,8.01,3536.15,7.92,23.95
105.,Trent,7307.70,191.06,259779.57,0.04,335.06,46.92,4156.67,39.37,23.79
106.,EIH,428.35,39.74,26787.47,0.28,132.70,41.08,588.99,11.01,23.62
107.,Poly Medicure,2775.30,95.37,28120.93,0.11,87.45,40.62,420.02,24.53,23.62
108.,Timken India,3001.05,57.12,22573.52,0.08,89.95,-3.33,752.89,10.40,23.36
109.,Astral,1621.60,83.32,43561.81,0.23,108.70,-17.15,1370.40,0.54,23.16
110.,Torrent Pharma.,3402.85,66.18,115162.73,0.82,453.00,17.36,2889.00,8.61,23.16
111.,GE Vernova T&D,2033.70,131.90,52072.89,0.10,144.62,289.08,1107.77,58.76,23.14
112.,Cipla,1511.25,26.50,122050.67,0.86,1305.01,15.18,7051.02,5.58,22.80
113.,AIA Engineering,3381.75,30.21,31896.79,0.47,256.43,-20.63,1044.21,-19.35,22.71
114.,Titan Company,3451.65,94.49,306432.71,0.32,704.00,-23.06,14534.00,16.00,22.70
115.,ICICI Lombard,1838.20,40.91,91034.00,0.33,693.95,20.21,6147.30,16.63,22.52
116.,Zydus Lifesci.,975.80,22.95,98188.31,0.31,920.20,13.62,5237.00,19.87,22.34
117.,Dabur India,524.90,52.87,93028.82,1.05,417.52,-17.66,3028.59,-5.47,22.28
118.,Jindal Stain.,677.60,22.80,55818.63,0.44,609.42,-11.23,9776.83,-0.21,22.23
119.,Godfrey Phillips,5105.90,28.13,26547.58,1.10,248.31,22.89,1383.98,19.55,22.17
